id,"Alkalinity, total",Calcium,Chloride,Fluoride,Magnesium,Nitrate as N,Sodium,Specific Conductivity,Sulfate,Total Dissolved Solids,Hardness
6400,93.0,15.9,3.6,0.1,11.9,1.4,12.7,208.0,6.5,156.0,89.47438169885667
6401,180.0,34.0,200.0,1.9,8.2,1.3,300.0,1700.0,210.0,860.0,134.26071051122892
6402,95.0,44.0,35.0,0.081,3.3,1.1,28.0,390.0,22.0,240.0,110.66287294927294
6403,110.0,29.0,12.0,0.25,6.0,0.15,23.0,283.0,15.0,190.0,98.76576658941057
6404,179.0,59.0,51.7,0.16,45.0,4.1,64.0,976.0,170.0,430.0,318.45946704822956
6405,120.0,47.0,55.0,0.45,7.7,8.6,83.0,470.0,53.0,360.0,155.13573735719837
6406,170.0,61.0,38.0,0.2,9.0,3.66,23.0,499.0,17.6,300.0,183.3336853507604
6407,180.0,64.0,46.0,0.29,14.0,1.6,48.0,670.0,99.0,450.0,223.49481462981467
6408,223.0,73.0,72.0,0.4,22.0,0.2,65.0,815.0,92.0,510.0,280.8910637112887
6409,88.0,19.0,2.0,0.12,3.6,0.59,15.0,190.0,1.1,130.0,65.29187161960847
6410,100.0,17.0,8.7,0.12,7.7,7.8,28.0,324.0,14.0,240.0,80.40249756216005
6411,230.0,35.0,45.0,0.35,24.0,2.7,87.0,790.0,91.0,460.0,205.5251495781996
6412,230.0,115.0,57.0,0.5,32.0,1.8,48.0,1020.0,209.0,720.0,434.3612937617938
6413,95.0,27.0,15.0,0.16,3.9,0.7,15.0,220.0,4.1,150.0,84.60333414807414
6414,230.0,53.0,19.0,0.17,27.0,10.0,29.0,500.0,41.0,340.0,245.6200644071279
6415,120.0,75.0,120.0,0.14,34.0,1.6,130.0,1200.0,300.0,720.0,311.973682917416
6416,160.0,24.0,3.3,0.17,6.0,0.44,18.0,230.0,10.0,130.0,96.23104536158286
6417,160.0,36.0,100.0,0.5,15.0,0.69,120.0,860.0,110.0,530.0,174.0316708014209
6418,210.0,53.0,19.0,0.4,23.0,2.2,27.0,565.0,30.0,330.0,217.38938156324235
6419,130.0,28.0,4.8,0.14,5.3,1.6,22.0,260.0,11.0,180.0,99.0499423154623
6420,300.0,56.0,31.0,0.23,41.0,0.43,53.0,710.0,53.0,480.0,302.441421926962
6421,200.0,54.0,58.0,0.15,21.0,5.9,32.0,480.0,15.0,340.0,215.66108723609727
6422,110.0,36.0,30.0,0.68,5.6,1.8,43.0,420.0,45.0,280.0,112.06003615828617
6423,100.0,17.0,8.0,0.16,10.0,2.7,21.0,260.0,6.9,170.0,91.17324756354752
6424,240.0,131.0,75.0,0.8,36.0,2.91,77.0,1240.0,327.0,830.0,473.15136999112
6425,280.0,96.0,99.0,2.1,43.0,4.5,210.0,2000.0,230.0,1300.0,425.90810286935266
6426,190.0,107.0,86.4,0.41,19.9,3.73,50.5,935.0,129.0,556.0,343.6097756687757
6427,79.0,14.0,7.6,0.21,1.2,2.8,29.0,200.0,4.0,110.0,39.2870192918193
6428,160.0,41.0,33.0,0.56,3.0,5.9,33.0,430.0,29.4,310.0,113.90475472166722
6429,183.0,95.1,59.8,0.44,16.7,2.0,43.1,811.0,136.0,540.0,299.14742185592166
6430,120.0,81.0,95.0,0.4,29.0,44.3,53.0,977.0,53.0,474.0,324.77726245859697
